Date,Time,PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Next_5_days_C6H6(GT),Next_10_days_C6H6(GT)
3/10/2004,18:00:00,1360,11.9,1046,1056,1692,1268,13.6,48.9,0.7578,32.1,12.4
3/10/2004,19:00:00,1292,9.4,955,1174,1559,972,13.3,47.7,0.7255,39.2,16.6
3/10/2004,20:00:00,1402,9,939,1140,1555,1074,11.9,54,0.7502,31,16.4
3/10/2004,21:00:00,1376,9.2,948,1092,1584,1203,11,60,0.7867,19.9,13.7
3/10/2004,22:00:00,1272,6.5,836,1205,1490,1110,11.2,59.6,0.7888,15.3,9.9
3/10/2004,23:00:00,1197,4.7,750,1337,1393,949,11.2,59.2,0.7848,6.9,8.9
3/11/2004,0:00:00,1185,3.6,690,1462,1333,733,11.3,56.8,0.7603,11.1,10.6
3/11/2004,1:00:00,1136,3.3,672,1453,1333,730,10.7,60,0.7702,5.4,7.4
3/11/2004,2:00:00,1094,2.3,609,1579,1276,620,10.7,59.7,0.7648,2.8,6.2
3/11/2004,3:00:00,1010,1.7,561,1705,1235,501,10.3,60.2,0.7517,2.3,6.5
3/11/2004,4:00:00,1011,1.3,527,1818,1197,445,10.1,60.5,0.7465,2.6,5.8
3/11/2004,5:00:00,1066,1.1,512,1918,1182,422,11,56.2,0.7366,2,4
3/11/2004,6:00:00,1052,1.6,553,1738,1221,472,10.5,58.1,0.7353,3.5,2.1
3/11/2004,7:00:00,1144,3.2,667,1490,1339,730,10.2,59.6,0.7417,5.1,3.6
3/11/2004,8:00:00,1333,8,900,1136,1517,1102,10.8,57.4,0.7408,16.2,4.4
3/11/2004,9:00:00,1351,9.5,960,1079,1583,1028,10.5,60.6,0.7691,19.7,5.4
3/11/2004,10:00:00,1233,6.3,827,1218,1446,860,10.8,58.4,0.7552,25.1,7.1
3/11/2004,11:00:00,1179,5,762,1328,1362,671,10.5,57.9,0.7352,20,7.3
3/11/2004,12:00:00,1236,5.2,774,1301,1401,664,9.5,66.8,0.7951,18.3,7.6
3/11/2004,13:00:00,1286,7.3,869,1162,1537,799,8.3,76.4,0.8393,22.3,6.8
3/11/2004,14:00:00,1371,11.5,1034,983,1730,1037,8,81.1,0.8736,20.4,4.6
3/11/2004,15:00:00,1310,8.8,933,1082,1647,946,8.3,79.8,0.8778,14.6,8.4
3/11/2004,16:00:00,1292,8.3,912,1103,1591,957,9.7,71.2,0.8569,16.6,6.9
3/11/2004,17:00:00,1383,11.2,1020,1008,1719,1104,9.8,67.6,0.8185,15.8,9
3/11/2004,18:00:00,1581,20.8,1319,799,2083,1409,10.3,64.2,0.8065,17.8,15.1
